id,username,created_at,lng,lat,text
1514074229330821133,Bi_tchCassidy,Wed Apr 13 02:53:21 +0000 2022,-83.6339035,41.0550135,@EmpathyIsBrave @crankeedoodle You're better off just not living in America at all. This country is a total wreck.
1514074229599318018,play_inmyhair,Wed Apr 13 02:53:21 +0000 2022,-73.9487755,40.655138,"Nah some people are really nasty on the inside, like disgusting."
1514074230026952706,jnjoiner,Wed Apr 13 02:53:21 +0000 2022,-122.2286855,37.791994,thank goodness recipe club is back
1514074230056538114,Pan_Trashpanda,Wed Apr 13 02:53:21 +0000 2022,-97.754724,30.323345500000002,@choy_boy13 @FullSend_Raver STOP YELLING AT ME @choy_boy13 😭
1514074230001999880,Neoavatara,Wed Apr 13 02:53:21 +0000 2022,-83.13928100000001,40.1252735,Good.
1514074231486783490,__bonequisha,Wed Apr 13 02:53:21 +0000 2022,-81.60280399999999,41.4131905,I’m not even like that😂😂😂😂
1514074233030250496,SorayaIsGolden,Wed Apr 13 02:53:21 +0000 2022,-83.72561,42.9944585,@trippielo2717 😩😩lemme gon and bless u too hehe
1514074233231446019,vjoixo,Wed Apr 13 02:53:21 +0000 2022,-115.133373,36.24912449999999,⭐️ Use my code : ( Vjoixo ) for 20% off your order 💛✨click the link in my bio 🥰🥰 https://t.co/n2Z3zISe1B
1514074234561064966,MrVickTattoo,Wed Apr 13 02:53:22 +0000 2022,-122.2180755,47.3923115,@hellabellatats Thanks so much! That's def my fave one I've made this year. I wish more people request that type of work.
1514074234879975428,kujorg,Wed Apr 13 02:53:22 +0000 2022,-73.9487755,40.655138,@llubnagem Ugh same they’re my jam lol 🍇 https://t.co/R0cJd4GS9R
1514074235227934721,mmcodd,Wed Apr 13 02:53:22 +0000 2022,-111.931711,34.1682535,Airports are trying something new @jtLOL
1514074235710459911,haleydirtysoul,Wed Apr 13 02:53:22 +0000 2022,-87.732013,41.8335845,@FinnAmory does everyone have to do it or am i getting fired
1514074235844665344,MacGrueber,Wed Apr 13 02:53:22 +0000 2022,-82.6694675,40.365159500000004,@evenpar2day @richalbi98 @YohannBenson Mentally knowing how lucky you are to golf at Augusta National Golf Club wou… https://t.co/2nkaiSCnWq
