username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Hyster Prynne🇺🇸,1580292120426188800,Seattle ,2023-01-08 04:10:10,@MikeMkngal @RudyGiuliani @tropicalswell Yeah like Lorenzo Anderson Jr. Murdered by blm/antifa thugs in the Seattle… https://t.co/LQxpHkpogN,0,Twitter Web App,
Blue,1359354625946652676,Seattle,2023-01-08 01:20:46,@KromerBilly @JamalThGod1 @Whurd559 @GammaReigh MLK wouldn't have shaken your hand. Get BLM out your bio.,0,Twitter Web App,
Kimm Rogers,33732510,California by the sea,2023-01-08 01:13:00,@GuiltMordru @hochalicious @TizzyEnt Todd Gloria wasn’t sworn in until Dec of 2020 long after the protests ended. He supports BLM.,0,Twitter for iPhone,
ScottK™,516983,"Seattle, WA",2023-01-07 14:42:47,"@POTUS Good.

Now, disavow #BLM and Antifa.",0,Twitter for Android,
Brandon's subconsciousness,1394750070780792832,"Seattle, WA",2023-01-07 08:11:26,@nytimes Looks like great job done. I just wish there was same rigor about BLM and Antifa riots of 2020.,0,Twitter for Android,
Jencita,1328480373685161984,"Seattle, WA",2023-01-07 07:50:40,"@TreySau09287039 @nowayOC @cenkuygur He crossed state lines with an illegal firearm, underage, to “protect a proper… https://t.co/FDOVA4Gnhm",1,Twitter for iPhone,
GPholidays,891358446716452865,"Seattle, WA",2023-01-07 07:34:14,@PhiaaBiondo @ABHibbs21 @ErrolWebber @RepJeffries @TheDemocrats I really could care less about the reasons behind t… https://t.co/7SGsIqLN08,0,Twitter for iPhone,
GPholidays,891358446716452865,"Seattle, WA",2023-01-07 06:35:23,@ABHibbs21 @ErrolWebber @RepJeffries @TheDemocrats IMO the worst were the blm ones because they were everywhere and… https://t.co/EJHTSs9sGo,0,Twitter for iPad,
America Mike,1609272802804400128,"Seattle, WA",2023-01-07 06:30:24,@DailyLoud Those pillows are funded from BLM,0,Twitter for iPhone,
Andrew,2428324279,"Seattle, WA",2023-01-07 06:27:34,@QuinAnguaDecim @seattletimes Right? Nobody arresting the VP Harris for calling on BLM rioters “not to stop”,0,Twitter for iPhone,
dadastic! sounds,240783579,Seattle USA ,2023-01-07 05:21:31,"@gregkellyusa Of course they were, Greg, and if they were, was it only them that rioted, looted &amp; defaced the Peopl… https://t.co/NZLqXwxnx8",0,Twitter Web App,
Ron Schoenberg,1385710496,"Burien, Washington, USA",2023-01-07 04:29:46,@marklevinshow People who can't tell the difference between the BLM demonstrations and Jan 6 have no understanding… https://t.co/ofvtxW6rDq,0,Twitter Web App,
sal @ bIaseball NOW 🐅,3187995882,"seattle, wa",2023-01-07 02:32:34,"@hiygay i believe they've all seen at least one ult except for our MT (our blm PF progged DSR, and I know we have s… https://t.co/0tmrEyOP8C",0,Twitter Web App,
Leftwing_Birdman,3271282116,"Seattle, WA",2023-01-07 02:25:17,@TierOnePoster @Niko_E_B @prisonculture Most dems didn’t even say they supported the phrase either. Desperate peopl… https://t.co/yBWic2aS96,0,Twitter for iPhone,
Chosen One 🇺🇦+🇺🇸,17127559,"Redmond, WA",2023-01-07 01:35:23,@charliekirk11 Ashli Babbitt was so desperate to kill members of congress that she was crawling over broken glass a… https://t.co/5EID43MRYD,1,Twitter for iPhone,
America Mike,1609272802804400128,"Seattle, WA",2023-01-07 00:04:41,@realDaveReilly @hodgetwins BLM was the real threat,0,Twitter for iPhone,
Robert,1599253473438371840,"Seattle, WA",2023-01-06 23:28:17,@ABC As am I from all the people killed from BLM riots.,0,Twitter for iPhone,
Pontiac350HO,2901877806,"Renton, WA",2023-01-06 22:38:11,@theamgreatness @MZHemingway They wouldn’t have dared do that to a BLM “activist”,0,Twitter for iPhone,
Jest Wondering,212803894,"Seattle, WA",2023-01-06 22:12:59,"@marklevinshow BLM protests-not riots and cause of death?? Do tell....

Babies do not die from abortion.  You like to stir the pot.",0,Twitter Web App,
Wise Sea Otter,162134784,Under The Sea,2023-01-06 22:09:33,"@AmeriFirstMC @JacksonR08 @realannapaulina Hahaha! I mean you’re still talking about Antifa and BLM. 🤦‍♂️
Those are… https://t.co/xwnnm1Z2I7",0,Twitter for iPhone,
Rhino,186067396,Seattle,2023-01-06 21:12:05,@GovInslee A small riot compared to 6 months of burning and looting by BLM,1,Twitter for Android,
Marlon C Taylor,414926635,Seattle WA,2023-01-06 20:46:18,"@taradublinrocks None of us do Tara. That said, had they found Mike Pence that day, I wonder what repugs would be s… https://t.co/RtSDaREsJz",0,Twitter Web App,
janet kay,632525563,,2023-01-06 20:46:10,@PapiTrumpo @CarrieMyHart Except the Antifa and blm rioters. They should be put in jail.,0,Twitter for iPhone,
asdf,40094782,"Seattle, WA",2023-01-06 17:35:07,@RepJeffries End result of blm,0,Twitter Web App,
David Workman,1583999188484096000,"Seattle, WA",2023-01-06 17:34:28,@Walterc70321377 @CNN Biden vaccine insurrection BLM 911 protest Trump MAGA voting SpaceX Epstein Ukraine Steele do… https://t.co/jY0u3FQbsO,0,Twitter for iPhone,
Eric Liang,1603540764147023873,"Seattle, WA",2023-01-06 17:26:42,"@libsoftiktok blm rules, i got so much free stuff downtown and i’m not even black i’m han chinese the best race statistically",0,Twitter for iPhone,
Bob Silog,1596911045121277952,"Seattle, WA",2023-01-06 17:25:57,"@voxproveritate @caroroJ5 @SenWarren Yes, the blm riots were full of losers that could not control their emotions sweetie….😘😘😘😘😘",0,Twitter for iPhone,
Allyship App,1409358450224615431,"Seattle, WA",2023-01-06 17:14:37,"We hope 2023 brings to you all the best✨ Let’s make this new year a better allyship year 💜

#AllyshipApp… https://t.co/YhlXPoobJA",0,Twitter for iPhone,
GPholidays,891358446716452865,"Seattle, WA",2023-01-06 17:08:00,@ErrolWebber @RepJeffries @TheDemocrats Can be just both agree they were bad? Like Jan 6th was really bad and same… https://t.co/SWHGiwTqpV,1,Twitter for iPhone,
GPholidays,891358446716452865,"Seattle, WA",2023-01-06 17:02:31,@MememarGaddafi Bro I ain’t going to lie and say that Jan 6th was the worst thing ever but I’m also not going to sa… https://t.co/NUR2cf5bPL,0,Twitter for iPhone,
